,sentiment_score,price,returns,volatility,volatility_annualized,next_day_returns,next_day_volatility
2025-01-31,-0.3795773386955261,0.32872799038887024,-0.8388923869583231,4.9779692829221664,95.10396961392604,-7.319191057086128,12.180857437300876
2025-02-04,0.2285075187683105,0.26414400339126587,-7.319191057086128,12.180857437300876,232.7149545825634,-3.1803135074943367,8.768400532536152
2025-02-06,0.10330381244421,0.24808399379253387,-3.1803135074943367,8.768400532536152,167.52005695774997,-0.5929435055786803,8.788261065704374
2025-02-07,0.5186164379119873,0.24661299586296082,-0.5929435055786803,8.788261065704374,167.89949191116096,2.394795705735153,5.43132342584515
2025-02-10,0.2155038565397262,0.25525999069213867,2.394795705735153,5.43132342584515,103.76528835303749,4.345733404840124,6.867661183165313
2025-02-12,-0.2240290641784668,0.26412200927734375,4.345733404840124,6.867661183165313,131.20648267622218,-0.6171421401542476,4.902251080579988
2025-02-13,0.4474234580993652,0.26249200105667114,-0.6171421401542476,4.902251080579988,93.65737538935412,3.595155186840704,8.856362753020107
2025-02-14,0.0056062028743326,0.271928995847702,3.595155186840704,8.856362753020107,169.20057282046918,-2.856924968780683,5.429051686617771
2025-02-17,0.0809133201837539,0.2581480145454407,-2.856924968780683,5.429051686617771,103.72188683603885,1.541245404207059,2.3335001443511896
2025-02-19,0.2459025830030441,0.2547680139541626,1.541245404207059,2.3335001443511896,44.581457660621226,0.03611119299591348,2.726200211116338
2025-02-20,0.4186487197875976,0.2548600137233734,0.03611119299591348,2.726200211116338,52.08398190181055,-6.102178951207615,10.869669448123775
2025-02-21,0.1192165836691856,0.23930799961090088,-6.102178951207615,10.869669448123775,207.66474322255215,-13.440697793984512,16.87876152320111
2025-02-24,-0.0208082757890224,0.21035900712013245,-13.440697793984512,16.87876152320111,322.46828612026235,0.965016957624143,8.078096229018286
2025-02-25,-0.1664495766162872,0.2123890072107315,0.965016957624143,8.078096229018286,154.3318117567697,-3.2242758372953095,8.33799792846303
2025-02-26,-0.1601969450712204,0.2055409997701645,-3.2242758372953095,8.33799792846303,159.29722675267962,0.6242087376173711,4.827293395747638
2025-02-27,0.1896096020936966,0.20682400465011597,0.6242087376173711,4.827293395747638,92.22531083140625,-2.3503061011876047,12.37008160544119
2025-02-28,0.0854411795735359,0.20196300745010376,-2.3503061011876047,12.37008160544119,236.33007723885925,,
